name,address,phone,description
CIRFA de Poitiers,8 Rue de l'Eperon 86200 Loudun France,0549002227,"Stationnement gratuit en face du centre. Pour les engagements et l’EMPT, ouverture du  Centre d'Information et de Recrutement des Forces Armées   jusqu’à 19h30 uniquement sur réservation. Deux créneaux par mois. Contacter l’accueil. Créneaux d’informations pour les moins de 17 ans les mercredis de 16h à 17h. Contacter l’accueil pour les inscriptions."
CIRFA de Polynesie,BP 9310 98715 PAPEETE CMP France,40463247,Les conseillers en recrutement du  Centre d'Information et de Recrutement des Forces Armées   de Polynesie vous attendent pour répondre à toutes vos questions.
CIRFA de Quimper,"Maison de l'Emploi 33, quai Robert Alba 29150 CHATEAULIN France",0298647850,"Le  Centre d'Information et de Recrutement des Forces Armées   est situé derrière l'ancien cinéma ""Le Bretagne"", non loin de la Préfecture, du Conseil Départemental du Finistère et du Commissariat de Police. Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA de Reims,17 place Carnot 51200 EPERNAY France,0351424100,"Le  Centre d'Information et de Recrutement des Forces Armées   Terre de Reims se trouve sur les hautes promenades, face à la porte de mars côté halle du boulingrin. N'hésitez surtout pas à prendre rendez-vous directement au CIRFA via le site à un créneau que vous souhaitez ou sur une de nos permanences afin de partager votre projet. Si vous avez la moindre question, vous pouvez également nous joindre directement par téléphone, nous serons là pour y répondre alors, à très vite."
CIRFA de Rennes,Rue Salvador Allende 35400 Saint-Malo France,0257218012,"Durant les horaires de fermeture de votre centre d'information et de recrutement des forces Armées ( Centre d'Information et de Recrutement des Forces Armées  ) il est toujours possible postuler directement via le formulaire de création de compte accessible sur ""mon espace candidat"". >Vous serez rapidement recontacté par un conseiller en recrutement de proximité par le biais des coordonnées que vous aurez indiqué."
CIRFA de Rouen,Espace Victor Hugo rue Jean Jaurès 76270 Neufchâtel-en-Bray France,0276278808,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées de Rouen sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Saint Brieuc,"6, rue Joseph Pennec 22110 ROSTRENEN France",0296015808,"Hors heures d'ouverture de votre centre d'information et de recrutement des forces Armées ( Centre d'Information et de Recrutement des Forces Armées  ) il est toujours possible de postuler directement via le formulaire de création de compte accessible sur ""mon espace candidat"". Vous serez rapidement recontacté par un conseiller en recrutement de proximité par le biais des coordonnées que vous aurez indiqué. En sortant de la gare SNCF, prendre la rue de la gare puis la rue piétonne Jean Devienne.Ouvert du lundi au vendredi de 08h00 à 12h00 et de 13h00 à 17h00."
CIRFA de Saint Lô,1 rue ST Martin 50300 AVRANCHES France,0233069415,"Le  Centre d'Information et de Recrutement des Forces Armées   de Saint-Lô se situe dans la même rue que les lycées "" Camille COROT "" et "" Pierre et Marie CURIE "" Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA de Saint-Denis (93),3 Rue de Rome 93110 Rosny-sous-Bois France,0155879750,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées de Saint Denis (93) sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Saint-étienne,Boulevard Valmy 42300 Roanne France,0477435980,"Le Centre de Recrutement et d'information de Saint-Etienne et son Antenne de Roanne vous accueil. Vous pouvez nous rencontrer en toute sécurité grâce aux mesures sanitaires mises en oeuvre pour un premier entretien, un dépôt de dossier ou suivi de dossier.   Des conseillers en recrutement sont prêt à vous recevoir et répondre à toutes vos questions sur le processus de recrutement de l'armée de Terre.   Le site https://www.sengager.fr/est toujours actif, il vous permet de vous inscrire afin de prendre un rendez-vous avec un conseiller en recrutement.   Du lundi au vendredi de 08h 00 à 12h00 et de 13h00 à 17h30   Contact téléphonique : 04 77 43 59 80"
CIRFA de Saint-Nazaire,2 Boulevard de la Loire 44260 SAVENAY France,0240451778,"En cas de fermeture,  il est toujours possible postuler directement via le formulaire de création de compte accessible sur ""mon espace candidat"". Vous pouvez également prendre contact avec le  Centre d'Information et de Recrutement des Forces Armées   de Nantes.Vous serez rapidement recontacté par un conseiller en recrutement de proximité par le biais des coordonnées que vous aurez indiqué."
CIRFA de Strasbourg,146D Route de Lyon 67400 Illkirch France,0390232649,
CIRFA de Tarbes,Boulevard Clémenceau 32300 Mirande France,0567450022,Le centre se situe près du 35ème Régiment d'Artillerie Parachutiste. Stationnement gratuit place de la courte boule.
CIRFA de Toulon,Place Claude Gay 83300 Draguignan France,0422439010,"Bienvenue au Centre d’Information et de Recrutement des Forces Armées, bureau Armée de Terre.  Si vous cherchez à vous informer sur les nombreux postes à pourvoir et que vous êtes en quête d’un métier hors norme : vous êtes à la bonne adresse. Une équipe vous accueillera afin de vous informer et vous accompagner tout au long de votre candidature pour intégrer l’Armée de Terre. Inscriptions en ligne disponible sur sengager.fr -          Les permanences de Brignoles, Draguignan, Saint-Raphaël, Cogolin, Hyères, Saint-Maximin-la-Sainte-Baume et Le Luc sont actives. Vous pouvez vous inscrire via le site sengager.fr ou auprès de nos partenaires.   DATES IMPORTANTES : -          Fermeture au public le vendredi 16 décembre après-midi uniquement. -          Fermeture au public du vendredi 23 décembre au lundi 02 janvier 2023 inclus.   PROCHAINS RENDEZ-VOUS (présence Armée de Terre) : o   27/01/2023 de 09h00 à 16h00 - FORMATIONS – 83400 HYERES o   27/01/2023 de 18h00 à 20h00 - SOIRÉE GARDE A VOUS - SALLE CASSIN - 83250 LA LONDE LES MAURES o   02/02/2023 de 08h00 à 15h00 - FORUM DES METIERS ET DES FORMATIONS – 83300 DRAGUIGNAN o   18/02/2023 de 18h00 à 21h00 - MATCH DE HOCKEY CARITATIF AU PROFIT DU CED - Patinoire de la garde  - 83130 LA GARDE o   02/03/2023 de 09h00 à 17h00 - FORUM DE L’ORIENTATION – 83170 BRIGNOLES"
CIRFA de Toulouse,12 avenue de Castelnaudary 31250 Revel France,0622721811,"L'entrée du  Centre d'Information et de Recrutement des Forces Armées   se situe a droite en suivant le mur d'enceinte le long de l'avenue Raymond Naves, puis rue Travot."
CIRFA de Tours,1 Place du Maréchal Leclerc 37600 Beaulieu-lès-Loches France,0234538066,"Pour nous trouver : place de la liberté sur l'avenue de Grammont ; le boulevard Jean Royer (ex Bd Thiers) se situe en face du quartier Sanitas. Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA de Troyes,12 rue Arago 10100 Romilly sur seine France,0325826289,Possibilité de venir le samedi matin sous réserve de rendez-vous.
CIRFA de Valence Drôme/Ardèche,Place du Champ de Mars 07000 Privas France,0475784582,"Vous pouvez stationner sur le parking de la "" Maison de l'Armée "" gratuitement."
CIRFA de Valenciennes,Caserne Mortier Rue Louis Blériot 59400 Cambrai France,0327198500,Des informations collectives sont effectuées tous les lundis à 14h. Contactez-nous pour plus d'informations ou venez à notre rencontre directement au Centre d'Information et de Recrutement des Forces Armées ou sur l'une de nos permanences !
CIRFA de Vannes,Passage des Carmes 56800 PLOËRMEL France,0297685352,"Il n'est pas nécessaire de prendre rendez-vous pour le premier contact néanmoins, si vous disposez d'un créneau de temps limité, ou si vous venez de loin, nous vous conseillons de nous appeler au préalable pour être sûr qu'un conseiller en recrutement puisse vous recevoir. Vous pouvez également dès à présent créer votre espace utilisateur pour faciliter vos démarche. Un conseiller vous appellera pour convenir d'un rdv. Vous pouvez aussi vous adresser ""les mercredis"" à la permanence la plus proche de votre lieu de résidence voir la rubrique ""permanence"". Nous vous invitons à consulter ces quatre ressources vidéo sur notre chaîne: - Pourquoi nous rejoindre - Nouvelles épreuves sportives - Conseil pour réussir ses évaluations sportives - Le Centre de Formation Initiale du Militaire (CFIM)"
CIRFA de Versailles,"7, Rue des chantiers 78000 VERSAILLES France",0139259200,Les conseillers en recrutement du Centre d'Information et de Recrutement de Versailles sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Vincennes,Fort-Neuf de Vincennes Cours des maréchaux 94300 Vincennes France,0141933358,Si vous avez besoin d'informations sur les différents métiers de l'armée de Terre vous pouvez contacter le  Centre d'Information et de Recrutement des Forces Armées   de Vincennes au 01 41 93 33 58
CIRFA du Havre,95 rue Jules Ferry 76400 Fécamp France,0235197180,Les conseillers du Centre d'Information et de Recrutement des Forces Armées du Havre sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA du Mans,19 rue de Sarthe 72300 Sablé-sur-Sarthe France,0243521640,"Situé à 150 mètres de l'arrêt TRAMWAY "" PREFECTURE "" et à 200 mètres de la rue du Port (place de la République). Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
